Institution,City,State,AdmissionRate,Undergraduates,CarnegieClassification,Ownership,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Marion Military Institute,Marion,AL,0.4535,314.0,Associate's Colleges: High Transfer-High Traditional,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Mobile,Mobile,AL,0.6409,1112.0,Master's Colleges & Universities: Small Programs,Private nonprofit,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0333,0.0,0.0,0.0667,0.0,0.05,0.0042,0.0,0.0125,0.0917,0.05,0.075,0.0,0.0,0.0708,0.0,0.0,0.0292,0.0,0.0,0.0,0.0,0.0417,0.225,0.1333,0.0167
University of Montevallo,Montevallo,AL,0.9009,2184.0,Master's Colleges & Universities: Medium Programs,Public,0.0,0.0139,0.0,0.0,0.0231,0.0,0.0116,0.0,0.1088,0.0,0.0,0.0023,0.0417,0.0,0.0903,0.0,0.0,0.0324,0.0185,0.0,0.0046,0.0972,0.0,0.0,0.0162,0.0,0.0463,0.0,0.0648,0.0417,0.0,0.0,0.0,0.0,0.1412,0.0417,0.1736,0.0301
University of North Alabama,Florence,AL,0.8997,5165.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.0,0.0119,0.0,0.0428,0.0,0.0277,0.0008,0.0958,0.0,0.0111,0.0103,0.0095,0.0,0.0166,0.0,0.0,0.0372,0.0048,0.0,0.0515,0.0681,0.0,0.0,0.0182,0.0,0.0404,0.0198,0.0483,0.0435,0.0,0.0,0.0,0.0,0.0538,0.133,0.2415,0.0135
Oakwood University,Huntsville,AL,0.7185,1353.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0,0.0303,0.0,0.0379,0.0,0.0076,0.0,0.0,0.0076,0.0114,0.0,0.0189,0.1439,0.0,0.178,0.0152,0.0,0.0,0.0,0.0,0.053,0.0038,0.0,0.0606,0.0,0.0568,0.0303,0.0,0.0,0.0,0.0,0.0189,0.1515,0.1742,0.0
Samford University,Birmingham,AL,0.8387,3604.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0011,0.0011,0.0,0.078,0.0,0.0054,0.0,0.0553,0.0,0.0,0.0065,0.0563,0.0076,0.0184,0.0054,0.0,0.0228,0.0033,0.0,0.0033,0.0325,0.0087,0.0108,0.0011,0.0,0.0217,0.0,0.0087,0.0282,0.0,0.0,0.0,0.0,0.0531,0.3759,0.1842,0.0108
University of South Alabama,Mobile,AL,0.7078,8631.0,Doctoral Universities: High Research Activity,Public,0.0,0.0,0.0,0.0,0.0311,0.0,0.036,0.0,0.1007,0.0929,0.0,0.0073,0.0,0.0,0.0058,0.0,0.0,0.071,0.0063,0.0,0.0535,0.0156,0.0024,0.0,0.0156,0.0,0.0448,0.0224,0.0083,0.0311,0.0,0.0,0.0,0.0,0.0204,0.326,0.1002,0.0083
Spring Hill College,Mobile,AL,0.7152,989.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0785,0.0,0.0,0.0,0.0909,0.0041,0.0,0.0,0.0,0.0,0.0248,0.0207,0.0,0.095,0.0041,0.0,0.0,0.0,0.0207,0.0,0.0,0.0,0.095,0.0,0.0,0.0702,0.0,0.0,0.0,0.0,0.0289,0.1983,0.2438,0.0248
Stillman College,Tuscaloosa,AL,0.758,721.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0492,0.0,0.0,0.0,0.1639,0.0,0.0,0.0,0.0,0.0,0.0246,0.0574,0.0,0.1557,0.0082,0.0,0.0,0.0,0.0082,0.0082,0.0,0.0,0.1557,0.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.2541,0.041
Troy University,Troy,AL,0.9527,10916.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.003,0.0,0.0,0.0345,0.0,0.0517,0.0,0.051,0.0,0.003,0.0067,0.0,0.0,0.0101,0.1008,0.0,0.0315,0.0049,0.0,0.0446,0.021,0.0,0.0,0.0071,0.0,0.1016,0.0708,0.0873,0.0484,0.0,0.0,0.0,0.0,0.0202,0.0922,0.1979,0.0116
Tuskegee University,Tuskegee,AL,0.342,2184.0,Master's Colleges & Universities: Medium Programs,Private nonprofit,0.166,0.0132,0.0189,0.0,0.0377,0.0,0.0283,0.0,0.0019,0.1962,0.0,0.0,0.0132,0.0,0.0113,0.0,0.0,0.1113,0.0189,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0358,0.0,0.0264,0.0283,0.0396,0.0,0.0,0.0,0.0057,0.1038,0.1189,0.0057
United States Sports Academy,Daphne,AL,1.0,68.0,Special Focus Four-Year: Other Special Focus Institutions,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Alaska Anchorage,Anchorage,AK,0.6905,7284.0,Master's Colleges & Universities: Larger Programs,Public,0.0054,0.0043,0.0,0.0,0.0087,0.0,0.0212,0.0033,0.0,0.0397,0.0424,0.0071,0.0065,0.0125,0.0125,0.1543,0.0,0.0141,0.0043,0.0,0.0304,0.0098,0.0022,0.0,0.0082,0.0158,0.0364,0.0152,0.0136,0.0255,0.0,0.0413,0.0082,0.0196,0.0179,0.256,0.1446,0.019
University of Alaska Fairbanks,Fairbanks,AK,0.6469,4108.0,Doctoral Universities: High Research Activity,Public,0.0009,0.0198,0.0,0.0056,0.0094,0.0,0.0235,0.0207,0.0452,0.0687,0.0179,0.016,0.0188,0.0056,0.0094,0.08,0.0,0.0443,0.0038,0.0,0.065,0.0047,0.0,0.0,0.0122,0.0019,0.0301,0.0876,0.0377,0.0358,0.0056,0.0395,0.0028,0.0,0.0226,0.1092,0.1497,0.0056
