Institution,City,State,AdmissionRate,Undergraduates,CarnegieClassification,Ownership,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
University of North Florida,Jacksonville,FL,0.7749,13862.0,Doctoral Universities: High Research Activity,Public,0.0,0.0,0.0,0.0003,0.0586,0.0,0.0379,0.0,0.0406,0.0403,0.0175,0.0077,0.0,0.0,0.0196,0.0838,0.0,0.0451,0.0146,0.0,0.0329,0.0236,0.004,0.0,0.0114,0.0,0.0925,0.0509,0.0074,0.0448,0.0,0.0,0.0,0.0,0.0308,0.1673,0.1567,0.0117
Nova Southeastern University,Fort Lauderdale,FL,0.925,6578.0,Doctoral Universities: High Research Activity,Private nonprofit,0.0,0.0163,0.0,0.0,0.0092,0.0,0.0198,0.0,0.0219,0.0028,0.0,0.0,0.0021,0.012,0.005,0.0127,0.0,0.2893,0.0035,0.0,0.0007,0.0417,0.0007,0.0,0.0014,0.0,0.0545,0.012,0.005,0.0085,0.0,0.0,0.0,0.0,0.0099,0.3755,0.0955,0.0
Palm Beach Atlantic University,West Palm Beach,FL,0.8986,2274.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0,0.0534,0.0,0.0172,0.0,0.0344,0.0,0.0,0.0,0.0,0.0057,0.0153,0.0305,0.0,0.0515,0.0038,0.0,0.0153,0.0611,0.0019,0.063,0.0095,0.0,0.105,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.105,0.1641,0.2462,0.0038
Ringling College of Art and Design,Sarasota,FL,0.6873,1661.0,"Special Focus Four-Year: Arts, Music & Design Schools",Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.3824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111,0.0,0.0,0.0
Rollins College,Winter Park,FL,0.4869,2501.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0356,0.0,0.0049,0.1246,0.0,0.0259,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0405,0.0016,0.0,0.0599,0.0113,0.0,0.0032,0.0,0.0194,0.0,0.0146,0.0,0.0793,0.0,0.0,0.1392,0.0,0.0,0.0,0.0,0.0971,0.0049,0.3123,0.0032
Saint Leo University,Saint Leo,FL,0.7066,6456.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0,0.0005,0.0,0.083,0.0,0.0429,0.0,0.0,0.0,0.0,0.0,0.0053,0.1365,0.0,0.0174,0.0005,0.0,0.0014,0.0111,0.0087,0.0,0.0,0.0,0.1167,0.1741,0.04,0.0299,0.0,0.0,0.0,0.0,0.0034,0.0304,0.2933,0.0048
St. John Vianney College Seminary,Miami,FL,0.9474,37.0,Special Focus Four-Year: Faith-Related Institutions,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of South Florida,Tampa,FL,0.4938,36681.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0126,0.0,0.0011,0.0529,0.0,0.0342,0.0,0.0302,0.0603,0.0,0.0066,0.0,0.0,0.0187,0.0436,0.0,0.1296,0.0061,0.0,0.0012,0.0,0.0025,0.0,0.0112,0.0,0.0718,0.0,0.0154,0.1072,0.0,0.0,0.0,0.0,0.0195,0.1883,0.1778,0.0091
St. Thomas University,Miami Gardens,FL,0.7086,1797.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0,0.0171,0.0,0.024,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0616,0.0068,0.0,0.0171,0.0,0.0,0.0068,0.0068,0.0,0.0479,0.0925,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.387,0.2842,0.0
Stetson University,DeLand,FL,0.9164,2826.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0248,0.0,0.0029,0.0453,0.0,0.0248,0.0,0.0336,0.0,0.0,0.0058,0.0,0.0,0.019,0.0,0.0,0.0672,0.0088,0.0,0.0,0.0219,0.0131,0.0,0.0204,0.0,0.0891,0.0,0.0,0.0847,0.0,0.0,0.0,0.0,0.108,0.0832,0.3226,0.0248
Southeastern University,Lakeland,FL,0.4492,5296.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0464,0.0,0.0,0.0,0.0,0.0112,0.0103,0.0601,0.0,0.0129,0.0017,0.0,0.0052,0.0412,0.0,0.3737,0.0,0.0,0.061,0.0172,0.0447,0.006,0.0,0.0,0.0,0.0,0.0318,0.0352,0.1675,0.0009
The University of Tampa,Tampa,FL,0.5355,9838.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0153,0.0,0.0,0.0895,0.0036,0.0387,0.0,0.027,0.0,0.0,0.0025,0.0,0.0,0.0102,0.0031,0.0,0.0972,0.0031,0.0,0.0092,0.0295,0.0046,0.0,0.0148,0.0,0.0514,0.0071,0.0,0.1124,0.0,0.0,0.0,0.0,0.0488,0.1139,0.3118,0.0066
Trinity Baptist College,Jacksonville,FL,0.4301,341.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194,0.0,0.0,0.7015,0.0,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.0
Trinity College of Florida,Trinity,FL,0.4672,199.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118,0.0,0.0,0.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471,0.0
Warner University,Lake Wales,FL,0.5313,762.0,Master's Colleges & Universities: Small Programs,Private nonprofit,0.0958,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,0.0,0.0542,0.0,0.0,0.0,0.1125,0.0,0.0333,0.0,0.0,0.025,0.0958,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708,0.0125
Webber International University,Babson Park,FL,0.4574,775.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.1333,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481,0.0,0.0,0.0,0.0,0.0148,0.1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4815,0.0
The University of West Florida,Pensacola,FL,0.5281,8881.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.0081,0.0,0.0,0.0301,0.0,0.0404,0.0,0.0311,0.0336,0.0106,0.0,0.0,0.0149,0.0121,0.2575,0.0,0.0513,0.0043,0.0,0.0078,0.0419,0.0025,0.0,0.0081,0.0,0.0469,0.0249,0.018,0.0336,0.0,0.0,0.0,0.0,0.0189,0.2032,0.0879,0.0124
Abraham Baldwin Agricultural College,Tifton,GA,0.7536,3323.0,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Public,0.2186,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0189,0.2264,0.0,0.0377,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0047,0.3255,0.0582,0.0
Agnes Scott College,Decatur,GA,0.6985,1013.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0,0.1667,0.0,0.0,0.1613,0.0269,0.0,0.0645,0.0,0.0269,0.0,0.0484,0.0,0.0968,0.0,0.0,0.1344,0.0,0.0,0.0,0.0,0.0484,0.0753,0.0323,0.043
Andrew College,Cuthbert,GA,0.5133,266.0,Baccalaureate/Associate's Colleges: Associate's Dominant,Private nonprofit,0.039,0.0,0.0,0.0,0.0649,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0519,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0779,0.0,0.0,0.0,0.0,0.0519,0.4805,0.0909,0.013
Point University,West Point,GA,0.4656,794.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0086,0.0,0.0,0.0,0.1073,0.0,0.0129,0.03,0.0,0.03,0.0,0.0,0.0043,0.0515,0.0,0.0944,0.0,0.0,0.1931,0.0429,0.0,0.0043,0.0,0.0,0.0,0.0,0.0258,0.1116,0.2575,0.0043
Clark Atlanta University,Atlanta,GA,0.5824,3376.0,Doctoral Universities: High Research Activity,Private nonprofit,0.0,0.0,0.0,0.0,0.1634,0.0,0.0453,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.1149,0.0081,0.0,0.0,0.0,0.0032,0.0,0.0129,0.0,0.1052,0.0858,0.0259,0.0615,0.0,0.0,0.0,0.0,0.1133,0.0,0.2184,0.0113
Berry College,Mount Berry,GA,0.699,2170.0,Master's Colleges & Universities: Small Programs,Private nonprofit,0.0,0.0292,0.0,0.0,0.0517,0.0,0.0,0.0,0.0449,0.0,0.0112,0.0135,0.0,0.0,0.0292,0.0,0.0,0.1865,0.0157,0.0,0.0382,0.0989,0.018,0.0,0.0225,0.0,0.0517,0.0,0.0,0.0404,0.0,0.0,0.0,0.0,0.036,0.1011,0.191,0.0202
Brenau University,Gainesville,GA,0.8911,1310.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0024,0.0096,0.0,0.0,0.0,0.1439,0.0,0.0,0.0,0.0,0.0048,0.0576,0.0791,0.0,0.0264,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.3885,0.1439,0.0024
Brewton-Parker College,Mount Vernon,GA,0.7974,597.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0161,0.0,0.0161,0.0,0.1452,0.0,0.0,0.0,0.0,0.0,0.0161,0.129,0.0,0.0484,0.0,0.0,0.0,0.0968,0.0161,0.0484,0.0,0.0,0.1452,0.1774,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0,0.0968,0.0161
College of Coastal Georgia,Brunswick,GA,0.9735,2750.0,Baccalaureate Colleges: Diverse Fields,Public,0.0,0.0064,0.0,0.0077,0.0,0.0,0.0,0.0102,0.0383,0.0,0.0,0.0064,0.0,0.0,0.0,0.4707,0.0,0.0536,0.0038,0.0,0.0293,0.0,0.0,0.0,0.0,0.0,0.0434,0.0281,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.1224,0.0
Clayton  State University,Morrow,GA,0.6256,5170.0,Master's Colleges & Universities: Medium Programs,Public,0.0,0.0,0.0,0.0,0.0171,0.0,0.0485,0.0,0.0215,0.0,0.0,0.0027,0.0,0.0548,0.0251,0.1391,0.0,0.0341,0.0036,0.0,0.0,0.0117,0.0,0.0,0.0054,0.0,0.0934,0.0368,0.0,0.0189,0.0,0.0,0.0,0.0,0.0278,0.2666,0.1831,0.0099
Columbus State University,Columbus,GA,0.7852,5986.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.0,0.0,0.0,0.0538,0.0,0.0704,0.0,0.0671,0.0041,0.0,0.0075,0.0,0.0,0.0199,0.0331,0.0,0.0455,0.0083,0.0,0.0091,0.0339,0.0,0.0,0.0132,0.0,0.0323,0.1126,0.0,0.0414,0.0,0.0,0.0,0.0,0.0737,0.2094,0.1556,0.0091
Covenant College,Lookout Mountain,GA,0.8854,840.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0459,0.0,0.0734,0.0,0.0,0.0275,0.0,0.0,0.0917,0.0,0.0,0.1147,0.0092,0.0,0.1376,0.0321,0.0138,0.0275,0.0505,0.0,0.0826,0.0,0.0,0.1055,0.0,0.0,0.0,0.0,0.0826,0.0,0.0872,0.0183
Emmanuel College,Franklin Springs,GA,0.7784,786.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0234,0.0,0.0,0.0,0.0625,0.0,0.0156,0.0,0.1016,0.0,0.0,0.0,0.0,0.0078,0.0,0.0391,0.0,0.0391,0.0234,0.0,0.0,0.2031,0.0,0.0391,0.0,0.0,0.0625,0.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0078,0.3047,0.0078
Emory University,Atlanta,GA,0.1305,7050.0,Doctoral Universities: Very High Research Activity,Private nonprofit,0.0,0.0133,0.0,0.0133,0.0073,0.0,0.022,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0293,0.005,0.0,0.1569,0.0764,0.0,0.0119,0.0334,0.0137,0.0,0.0403,0.0,0.048,0.0,0.0014,0.1171,0.0,0.0,0.0,0.0,0.0242,0.1898,0.1679,0.0128
Fort Valley State University,Fort Valley,GA,0.7226,2635.0,Master's Colleges & Universities: Small Programs,Public,0.1367,0.0,0.0,0.0,0.0405,0.0,0.0481,0.0,0.0278,0.0,0.0278,0.0,0.0329,0.0,0.0,0.0506,0.0,0.1063,0.0203,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.1443,0.0835,0.0506,0.0253,0.0,0.0,0.0,0.0,0.0203,0.0,0.1595,0.0076
Georgia Institute of Technology-Main Campus,Atlanta,GA,0.1596,16566.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0,0.0103,0.0,0.0101,0.0,0.1928,0.0,0.0,0.5231,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.057,0.0095,0.0,0.0217,0.0,0.0,0.0,0.016,0.0,0.0103,0.0,0.0034,0.0157,0.0,0.0,0.0,0.0,0.0157,0.0,0.1008,0.0054
Georgia Southwestern State University,Americus,GA,0.8558,2018.0,Master's Colleges & Universities: Medium Programs,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.1189,0.0,0.0,0.0,0.0,0.0,0.0103,0.0181,0.0,0.0155,0.0078,0.0,0.0,0.0336,0.0,0.0,0.0129,0.0,0.1111,0.0258,0.0,0.0517,0.0,0.0,0.0,0.0,0.031,0.1525,0.3618,0.0155
Georgia College & State University,Milledgeville,GA,0.8768,5489.0,Master's Colleges & Universities: Larger Programs,Public,0.0,0.0222,0.0,0.0,0.0606,0.0,0.0606,0.0,0.0606,0.0,0.0,0.0051,0.0,0.0,0.035,0.012,0.0,0.0538,0.0077,0.0,0.0009,0.0837,0.0051,0.0,0.0222,0.0,0.0845,0.0256,0.0,0.0453,0.0,0.0,0.0,0.0,0.0265,0.1605,0.2118,0.0162
Georgia Southern University,Statesboro,GA,0.9051,22404.0,Doctoral Universities: High Research Activity,Public,0.0,0.0,0.0,0.0007,0.0256,0.0,0.0544,0.0,0.0634,0.091,0.0152,0.0078,0.0306,0.0009,0.0256,0.0495,0.0,0.0569,0.0041,0.0,0.0002,0.0684,0.0035,0.0,0.0141,0.0,0.062,0.0,0.0,0.0604,0.0,0.0,0.0,0.0,0.0247,0.1518,0.182,0.0071
Georgia State University,Atlanta,GA,0.9999,28415.0,Doctoral Universities: Very High Research Activity,Public,0.0,0.0004,0.0,0.0039,0.0448,0.0,0.1103,0.0,0.0612,0.0,0.0004,0.0204,0.0,0.0,0.0193,0.0,0.0,0.0752,0.0073,0.0,0.0594,0.0,0.0066,0.0,0.0243,0.0,0.0793,0.0297,0.015,0.0943,0.0,0.0,0.0,0.0,0.0789,0.0575,0.2021,0.0095
University of Georgia,Athens,GA,0.3998,30032.0,Doctoral Universities: Very High Research Activity,Public,0.0269,0.0091,0.0045,0.0072,0.0938,0.0,0.0309,0.0,0.0345,0.0454,0.0,0.0143,0.0413,0.0221,0.012,0.0009,0.0,0.0859,0.0103,0.0,0.0437,0.0259,0.0044,0.0,0.0065,0.0,0.0473,0.008,0.0052,0.073,0.0,0.0,0.0,0.0,0.0332,0.0294,0.275,0.0092
Gordon State College,Barnesville,GA,0.8764,2546.0,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Public,0.0,0.0,0.0,0.0,0.0122,0.0,0.0122,0.0,0.047,0.0122,0.0,0.0035,0.0,0.0,0.0226,0.2038,0.0,0.0523,0.0052,0.0,0.0035,0.0,0.0,0.0,0.0035,0.0,0.0749,0.0279,0.0976,0.0087,0.0,0.0,0.0,0.0,0.0244,0.1934,0.1812,0.0139
LaGrange College,Lagrange,GA,0.7482,580.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899,0.0,0.0,0.0106,0.0,0.0,0.0159,0.0423,0.0,0.0688,0.0212,0.0,0.0,0.0741,0.0106,0.0,0.0106,0.0,0.0582,0.0,0.0,0.0582,0.0,0.0,0.0,0.0,0.1217,0.2169,0.1799,0.0212
Life University,Marietta,GA,0.9591,908.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0058,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.1462,0.0,0.3918,0.0,0.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.1228,0.1696,0.0
Herzing University-Atlanta,Atlanta,GA,0.9452,571.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0882,0.0,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588,0.2794,0.0
Mercer University,Macon,GA,0.7541,4699.0,Doctoral Universities: High Research Activity,Private nonprofit,0.0,0.0,0.0,0.0034,0.0268,0.0,0.0327,0.0,0.0553,0.1031,0.0,0.021,0.0,0.0075,0.0101,0.0159,0.0,0.109,0.0025,0.0,0.0,0.0,0.0084,0.0,0.0201,0.0,0.0411,0.0193,0.0201,0.0595,0.0,0.0,0.0,0.0,0.0201,0.254,0.1635,0.0067
Morehouse College,Atlanta,GA,0.6518,2554.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0116,0.0325,0.0,0.0487,0.0,0.0116,0.0302,0.0,0.0046,0.0,0.0,0.0487,0.0,0.0,0.1044,0.007,0.0,0.0093,0.0696,0.0232,0.0,0.0534,0.0,0.0626,0.0,0.0,0.1671,0.0,0.0,0.0,0.0,0.0557,0.0,0.2506,0.0093
Oglethorpe University,Atlanta,GA,0.8129,1408.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0034,0.0782,0.0,0.0,0.0,0.0,0.0782,0.0,0.017,0.0,0.0,0.0442,0.017,0.0,0.1395,0.0102,0.0,0.0986,0.0,0.0068,0.0,0.0068,0.0,0.051,0.0,0.0136,0.1293,0.0,0.0,0.0,0.0,0.068,0.0,0.2177,0.0204
Paine College,Augusta,GA,0.5201,241.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
Piedmont University,Demorest,GA,0.67,1213.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0036,0.0,0.0,0.0469,0.0,0.0,0.0,0.1588,0.0144,0.0,0.0,0.0,0.0,0.0108,0.0144,0.0,0.0217,0.0,0.0,0.0108,0.0253,0.0072,0.0,0.0108,0.0,0.0614,0.0542,0.0,0.0144,0.0,0.0,0.0,0.0,0.0433,0.3502,0.1264,0.0253
Reinhardt University,Waleska,GA,0.704,1051.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0433,0.0,0.0,0.0,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.04,0.0033,0.0,0.0133,0.14,0.0033,0.0,0.0,0.0,0.02,0.1433,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.1167,0.3067,0.01
Savannah College of Art and Design,Savannah,GA,0.8078,12542.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0041,0.0,0.02,0.0,0.1402,0.1741,0.0,0.0,0.0,0.0065,0.0,0.0,0.0571,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5642,0.0,0.0,0.0
Shorter University,Rome,GA,0.812,1183.0,Master's Colleges & Universities: Small Programs,Private nonprofit,0.0,0.0,0.0,0.0,0.028,0.0,0.024,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.004,0.104,0.0,0.048,0.012,0.0,0.08,0.076,0.02,0.012,0.012,0.0,0.028,0.04,0.036,0.008,0.0,0.0,0.0,0.0,0.036,0.104,0.22,0.02
Spelman College,Atlanta,GA,0.5076,2417.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0103,0.0,0.033,0.0,0.0,0.0351,0.0,0.0351,0.0,0.0,0.0124,0.0,0.0,0.0804,0.0,0.0,0.1464,0.0289,0.0,0.0557,0.0,0.0144,0.0,0.0247,0.0,0.1443,0.0,0.0021,0.2124,0.0,0.0,0.0,0.0,0.0639,0.0866,0.0,0.0144
Thomas University,Thomasville,GA,0.2884,688.0,Master's Colleges & Universities: Medium Programs,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0,0.0,0.0,0.0,0.0,0.0,0.0491,0.0,0.227,0.0,0.0,0.0184,0.0,0.0,0.0,0.0,0.0,0.0429,0.2638,0.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.1288,0.1166,0.0
Toccoa Falls College,Toccoa Falls,GA,0.6189,784.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0578,0.0,0.0,0.0058,0.0058,0.0,0.0289,0.1329,0.0,0.0116,0.0,0.0,0.0116,0.0694,0.0,0.2312,0.0,0.0,0.1445,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.104,0.104,0.0
Truett McConnell University,Cleveland,GA,0.6882,838.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,0.0305,0.0,0.0,0.0,0.0458,0.0,0.1298,0.0,0.0,0.1145,0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679,0.2901,0.0229
Valdosta State University,Valdosta,GA,0.7637,8421.0,Doctoral/Professional Universities,Public,0.0,0.0,0.0,0.0,0.0644,0.0,0.0238,0.0,0.0657,0.0013,0.0064,0.0219,0.0,0.0,0.0097,0.0554,0.0,0.0573,0.0064,0.0,0.0,0.0122,0.0045,0.0,0.018,0.0,0.0779,0.0419,0.0,0.0399,0.0,0.0,0.0,0.0,0.0509,0.1784,0.2486,0.0155
Wesleyan College,Macon,GA,0.6216,574.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0139,0.0,0.0,0.0278,0.0,0.0208,0.0,0.0208,0.0069,0.0,0.0069,0.0,0.0,0.0278,0.0,0.0,0.0486,0.0069,0.0,0.0,0.0,0.0069,0.0,0.0069,0.0,0.1319,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0556,0.3056,0.1875,0.0139
University of West Georgia,Carrollton,GA,0.697,8572.0,Doctoral/Professional Universities,Public,0.0,0.0,0.0,0.0,0.063,0.0,0.0103,0.0,0.063,0.0,0.0,0.006,0.0,0.0,0.0152,0.0,0.0,0.0609,0.006,0.0,0.0201,0.0446,0.0043,0.0,0.0196,0.0,0.1092,0.0,0.0,0.1435,0.0,0.0,0.0,0.0,0.0304,0.1712,0.2239,0.0087
Young Harris College,Young Harris,GA,0.7476,892.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0291,0.0,0.0,0.0523,0.0,0.0,0.0,0.1163,0.0,0.0,0.0058,0.0,0.0,0.0349,0.0,0.0,0.064,0.0233,0.0,0.0523,0.0523,0.0,0.0,0.0116,0.0,0.1279,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,0.093,0.0,0.2209,0.0698
Chaminade University of Honolulu,Honolulu,HI,0.9008,1536.0,Master's Colleges & Universities: Medium Programs,Private nonprofit,0.0,0.0471,0.0,0.0,0.0209,0.0,0.0,0.0,0.1099,0.0,0.0,0.0,0.0,0.0,0.0288,0.1309,0.0,0.0445,0.0,0.0,0.0052,0.0,0.0105,0.0,0.0,0.0,0.089,0.1754,0.0,0.0026,0.0,0.0,0.0,0.0,0.0209,0.1545,0.1204,0.0393
University of Hawaii at Hilo,Hilo,HI,0.9217,2630.0,Doctoral/Professional Universities,Public,0.0316,0.0222,0.0,0.0396,0.0728,0.0,0.0095,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.019,0.0079,0.0,0.0918,0.0206,0.0,0.0032,0.0585,0.0142,0.0,0.0301,0.0,0.0791,0.0475,0.0,0.125,0.0,0.0,0.0,0.0,0.0127,0.1946,0.0965,0.0079
University of Hawaii at Manoa,Honolulu,HI,0.6998,13839.0,Doctoral Universities: Very High Research Activity,Public,0.0061,0.0141,0.012,0.0227,0.0473,0.0181,0.0323,0.0,0.0639,0.0731,0.0,0.0482,0.0261,0.0,0.0187,0.0135,0.0,0.0768,0.0074,0.0,0.0049,0.0295,0.0058,0.0,0.012,0.0,0.0648,0.0,0.0154,0.0811,0.0,0.0,0.0,0.0,0.0316,0.0688,0.1954,0.0101
Hawaii Pacific University,Honolulu,HI,0.8532,2726.0,Master's Colleges & Universities: Larger Programs,Private nonprofit,0.0,0.0175,0.0,0.0,0.049,0.0,0.0455,0.0,0.0332,0.0,0.0,0.0,0.0,0.0,0.0105,0.0385,0.0,0.0909,0.0122,0.0,0.0385,0.0,0.0,0.0,0.0035,0.0,0.049,0.0664,0.028,0.007,0.0,0.0,0.0,0.0,0.0017,0.2745,0.215,0.0192
