Institution,City,State,Undergraduates,Median Earnings
Lake Superior State University,Sault Ste Marie,MI,1593.0,47666.0
Lansing Community College,Lansing,MI,8899.0,39312.0
Lawrence Technological University,Southfield,MI,1906.0,69190.0
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,23.0,19176.0
Macomb Community College,Warren,MI,15270.0,39386.0
Madonna University,Livonia,MI,1954.0,54408.0
Rochester University,Rochester Hills,MI,842.0,47021.0
University of Michigan-Ann Arbor,Ann Arbor,MI,32063.0,79580.0
The Michigan Barber School,Detroit,MI,135.0,21748.0
Michigan State University,East Lansing,MI,38424.0,64566.0
Michigan Technological University,Houghton,MI,5701.0,77293.0
University of Michigan-Dearborn,Dearborn,MI,6193.0,58324.0
University of Michigan-Flint,Flint,MI,4372.0,47757.0
Mid Michigan College,Harrison,MI,2160.0,36313.0
Monroe County Community College,Monroe,MI,1744.0,38889.0
Montcalm Community College,Sidney,MI,1091.0,33301.0
Muskegon Community College,Muskegon,MI,2957.0,36015.0
North Central Michigan College,Petoskey,MI,1012.0,32421.0
Northern Michigan University,Marquette,MI,6330.0,44658.0
Northwestern Michigan College,Traverse City,MI,2861.0,36219.0
Northwood University,Midland,MI,2092.0,58172.0
Oakland Community College,Auburn Hills,MI,11978.0,35680.0
Oakland University,Rochester Hills,MI,13538.0,55645.0
Olivet College,Olivet,MI,838.0,45624.0
Port Huron Cosmetology College,Waterford,MI,54.0,15326.0
Kuyper College,Grand Rapids,MI,92.0,38728.0
Ross Medical Education Center-Lansing,Lansing,MI,87.0,29128.0
Ross Medical Education Center-Warren,Warren,MI,114.0,28178.0
Ross Medical Education Center-Flint,Flint,MI,111.0,26016.0
Sacred Heart Major Seminary,Detroit,MI,160.0,
Saginaw Valley State University,University Center,MI,6522.0,48256.0
Schoolcraft Community College District,Livonia,MI,7440.0,40781.0
Siena Heights University,Adrian,MI,1640.0,50438.0
St Clair County Community College,Port Huron,MI,2198.0,38212.0
Southwestern Michigan College,Dowagiac,MI,1289.0,32791.0
Spring Arbor University,Spring Arbor,MI,1109.0,47632.0
Michigan Career and Technical Institute,Plainwell,MI,118.0,24422.0
Finlandia University,Hancock,MI,400.0,36586.0
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,,55121.0
Twin City Beauty College,Saint Joseph,MI,261.0,19565.0
Walsh College,Troy,MI,634.0,69522.0
Washtenaw Community College,Ann Arbor,MI,8404.0,36109.0
Wayne County Community College District,Detroit,MI,9036.0,29088.0
Wayne State University,Detroit,MI,16530.0,48752.0
West Shore Community College,Scottville,MI,683.0,33267.0
Paul Mitchell the School-Grand Rapids,Kentwood,MI,96.0,
Western Michigan University,Kalamazoo,MI,14286.0,52487.0
Western Theological Seminary,Holland,MI,,
Academy College,Bloomington,MN,82.0,43571.0
Alexandria Technical & Community College,Alexandria,MN,1255.0,46278.0
Anoka Technical College,Anoka,MN,1493.0,45328.0
Anoka-Ramsey Community College,Coon Rapids,MN,4288.0,46980.0
Augsburg University,Minneapolis,MN,2346.0,56814.0
Riverland Community College,Austin,MN,1951.0,41147.0
Northwest Technical College,Bemidji,MN,567.0,39960.0
Bemidji State University,Bemidji,MN,3508.0,50297.0
Bethany Lutheran College,Mankato,MN,659.0,45251.0
Bethel University,Saint Paul,MN,2298.0,58664.0
Central Lakes College-Brainerd,Brainerd,MN,1624.0,42362.0
Carleton College,Northfield,MN,2008.0,70334.0
Concordia College at Moorhead,Moorhead,MN,1862.0,55054.0
Concordia University-Saint Paul,Saint Paul,MN,2985.0,56424.0
Dakota County Technical College,Rosemount,MN,2072.0,49410.0
Martin Luther College,New Ulm,MN,736.0,45759.0
Lake Superior College,Duluth,MN,2719.0,43559.0
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,27.0,29293.0
Minnesota State Community and Technical College,Fergus Falls,MN,3175.0,42689.0
Minnesota West Community and Technical College,Granite Falls,MN,1745.0,42210.0
Gustavus Adolphus College,Saint Peter,MN,2251.0,63218.0
Hamline University,Saint Paul,MN,1787.0,57170.0
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,,
Hennepin Technical College,Brooklyn Park,MN,2966.0,46538.0
Minnesota North College,Hibbing,MN,649.0,41990.0
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,618.0,35531.0
Inver Hills Community College,Inver Grove Heights,MN,2422.0,49406.0
Minnesota North College - Itasca,Grand Rapids,MN,606.0,42888.0
Luther Seminary,Saint Paul,MN,,
Macalester College,Saint Paul,MN,2235.0,62762.0
South Central College,North Mankato,MN,1970.0,41257.0
Minnesota State University-Mankato,Mankato,MN,11500.0,55008.0
Mayo Clinic College of Medicine and Science,Rochester,MN,258.0,72736.0
Minnesota North College - Mesabi Range Virginia,Virginia,MN,582.0,43199.0
Metropolitan State University,Saint Paul,MN,5689.0,60744.0
University of Minnesota-Twin Cities,Minneapolis,MN,30734.0,65087.0
University of Minnesota-Crookston,Crookston,MN,1574.0,49197.0
Minneapolis College of Art and Design,Minneapolis,MN,667.0,43742.0
Minneapolis Community and Technical College,Minneapolis,MN,4806.0,40776.0
Herzing University-Minneapolis,St. Louis Park,MN,746.0,34238.0
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,189.0,29287.0
University of Minnesota-Duluth,Duluth,MN,8084.0,59144.0
University of Minnesota-Morris,Morris,MN,1189.0,49414.0
Model College of Hair Design,Saint Cloud,MN,128.0,27668.0
Minnesota State University Moorhead,Moorhead,MN,3778.0,49476.0
North Hennepin Community College,Brooklyn Park,MN,3565.0,48603.0
Normandale Community College,Bloomington,MN,6157.0,48321.0
North Central University,Minneapolis,MN,868.0,42445.0
Northland Community and Technical College,Thief River Falls,MN,1732.0,43159.0
University of Northwestern-St Paul,Saint Paul,MN,1599.0,47202.0
Northwestern Health Sciences University,Bloomington,MN,249.0,35754.0
Oak Hills Christian College,Bemidji,MN,80.0,31021.0
Pine Technical & Community College,Pine City,MN,596.0,44208.0
Minnesota North College - Rainy River,International Falls,MN,119.0,39481.0
Rochester Community and Technical College,Rochester,MN,3384.0,44248.0
College of Saint Benedict,Saint Joseph,MN,1535.0,61071.0
St Cloud Technical and Community College,Saint Cloud,MN,3083.0,46892.0
Saint Cloud State University,Saint Cloud,MN,6054.0,53448.0
Saint Johns University,Collegeville,MN,1533.0,75423.0
Saint Mary's University of Minnesota,Winona,MN,1216.0,58188.0
St Olaf College,Northfield,MN,2955.0,66260.0
Crown College,Saint Bonifacius,MN,751.0,45299.0
The College of Saint Scholastica,Duluth,MN,2134.0,61672.0
University of St Thomas,Saint Paul,MN,6030.0,72582.0
Empire Beauty School-Bloomington,Bloomington,MN,144.0,24562.0
St Catherine University,Saint Paul,MN,2546.0,54838.0
Rasmussen University-Minnesota,St. Cloud,MN,3553.0,37168.0
Saint Paul College,Saint Paul,MN,3895.0,38307.0
Southwest Minnesota State University,Marshall,MN,1982.0,46644.0
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,409.0,20944.0
United Theological Seminary of the Twin Cities,St. Paul,MN,,
Minnesota North College - Vermilion,Ely,MN,379.0,43802.0
Dunwoody College of Technology,Minneapolis,MN,1374.0,56185.0
Ridgewater College,Willmar,MN,2184.0,41605.0
Minnesota State College Southeast,Winona,MN,1010.0,41316.0
Winona State University,Winona,MN,5606.0,55391.0
Mitchell Hamline School of Law,Saint Paul,MN,,
Century College,White Bear Lake,MN,6270.0,45390.0
Alcorn State University,Alcorn State,MS,2478.0,34492.0
Belhaven University,Jackson,MS,1632.0,42152.0
Blue Mountain Christian University,Blue Mountain,MS,619.0,34994.0
Chris Beauty College,Gulfport,MS,59.0,15948.0
Coahoma Community College,Clarksdale,MS,1308.0,23442.0
Copiah-Lincoln Community College,Wesson,MS,2007.0,30118.0
Delta State University,Cleveland,MS,1716.0,39273.0
East Central Community College,Decatur,MS,1654.0,31874.0
East Mississippi Community College,Scooba,MS,2565.0,31200.0
Fosters Cosmetology College,Ripley,MS,36.0,23697.0
Academy of Hair Design-Grenada,Grenada,MS,33.0,20089.0
Hinds Community College,Raymond,MS,7674.0,30401.0
Holmes Community College,Goodman,MS,3978.0,30240.0
Itawamba Community College,Fulton,MS,3572.0,32480.0
Jackson State University,Jackson,MS,4742.0,36198.0
Jones County Junior College,Ellisville,MS,3491.0,31916.0
Meridian Community College,Meridian,MS,2356.0,29674.0
Millsaps College,Jackson,MS,635.0,56736.0
Mississippi Delta Community College,Moorhead,MS,1574.0,28018.0
University of Mississippi,University,MS,15994.0,50510.0
Mississippi University for Women,Columbus,MS,1834.0,38551.0
Mississippi Valley State University,Itta Bena,MS,1316.0,30324.0
Mississippi College,Clinton,MS,2244.0,45187.0
Hatfield's Mississippi College of Beauty Culture,Laurel,MS,66.0,18692.0
Mississippi Gulf Coast Community College,Perkinston,MS,6633.0,32353.0
Mississippi State University,Mississippi State,MS,18451.0,48296.0
Northeast Mississippi Community College,Booneville,MS,2767.0,32921.0
Northwest Mississippi Community College,Senatobia,MS,5212.0,33865.0
Pearl River Community College,Poplarville,MS,4195.0,31615.0
Rust College,Holly Springs,MS,768.0,29731.0
Southeastern Baptist College,Laurel,MS,86.0,19174.0
Southwest Mississippi Community College,Summit,MS,1468.0,30165.0
University of Southern Mississippi,Hattiesburg,MS,10597.0,42073.0
Tougaloo College,Tougaloo,MS,563.0,36069.0
Vaughn Beauty College,Aberdeen,MS,53.0,
Wesley Biblical Seminary,Ridgeland,MS,20.0,
William Carey University,Hattiesburg,MS,1960.0,40817.0
Aquinas Institute of Theology,Saint Louis,MO,,
Avila University,Kansas City,MO,999.0,52544.0
Baptist Bible College,Springfield,MO,236.0,34919.0
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,112.0,23530.0
Cox College,Springfield,MO,749.0,55545.0
Calvary University,Kansas City,MO,232.0,39019.0
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,239.0,42886.0
Central Christian College of the Bible,Moberly,MO,130.0,37668.0
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,1143.0,42616.0
University of Central Missouri,Warrensburg,MO,6407.0,46316.0
Grand River Technical School,Chillicothe,MO,50.0,37651.0
Cleveland University-Kansas City,Overland Park,KS,91.0,52976.0
Columbia College,Columbia,MO,6159.0,44642.0
Conception Seminary College,Conception,MO,26.0,45966.0
Concordia Seminary,Saint Louis,MO,,
Cottey College,Nevada,MO,303.0,35806.0
Covenant Theological Seminary,Saint Louis,MO,,
Crowder College,Neosho,MO,2778.0,34770.0
Culver-Stockton College,Canton,MO,840.0,46707.0
Drury University,Springfield,MO,1340.0,39169.0
East Central College,Union,MO,1819.0,34810.0
Eden Theological Seminary,Webster Groves,MO,,
Pinnacle Career Institute,Kansas City,MO,390.0,30976.0
Evangel University,Springfield,MO,1654.0,45450.0
Fontbonne University,Saint Louis,MO,656.0,48326.0
Four Rivers Career Center,Washington,MO,35.0,43360.0
Ozarks Technical Community College,Springfield,MO,8414.0,34874.0
Hannibal-LaGrange University,Hannibal,MO,543.0,38656.0
Harris-Stowe State University,Saint Louis,MO,1199.0,33234.0
House of Heavilin Beauty College-Kansas City,Kansas City,MO,48.0,21263.0
Summit Salon Academy Kansas City,Independence,MO,72.0,23712.0
Jefferson College,Hillsboro,MO,2584.0,37425.0
Paul Mitchell the School-Missouri Columbia,Columbia,MO,134.0,30745.0
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,566.0,76186.0
Kansas City Art Institute,Kansas City,MO,724.0,37561.0
Kenrick Glennon Seminary,Saint Louis,MO,,
A T Still University of Health Sciences,Kirksville,MO,,
Lake Career and Technical Center,Camdenton,MO,8.0,
Lex La-Ray Technical Center,Lexington,MO,29.0,37434.0
Lincoln University,Jefferson City,MO,1313.0,36347.0
Lindenwood University,Saint Charles,MO,4599.0,49080.0
State Technical College of Missouri,Linn,MO,1757.0,49220.0
Logan University,Chesterfield,MO,339.0,50143.0
Metropolitan Community College-Kansas City,Kansas City,MO,11784.0,38151.0
Lutheran School of Nursing,Saint Louis,MO,16.0,60413.0
Maryville University of Saint Louis,Saint Louis,MO,5627.0,55969.0
Missouri College of Cosmetology and Esthetics,Jefferson City,MO,68.0,23408.0
Midwest Institute,Fenton,MO,223.0,29119.0
Midwestern Baptist Theological Seminary,Kansas City,MO,872.0,39752.0
Mineral Area College,Park Hills,MO,1542.0,33522.0
Missouri Baptist University,Saint Louis,MO,1504.0,42766.0
Missouri Southern State University,Joplin,MO,3593.0,41727.0
Missouri Valley College,Marshall,MO,1447.0,40998.0
Missouri Western State University,Saint Joseph,MO,2976.0,40253.0
University of Missouri-Columbia,Columbia,MO,23092.0,61073.0
University of Missouri-Kansas City,Kansas City,MO,6762.0,55775.0
Missouri University of Science and Technology,Rolla,MO,5668.0,82622.0
University of Missouri-St Louis,Saint Louis,MO,5718.0,50876.0
Moberly Area Community College,Moberly,MO,3139.0,34823.0
Nazarene Theological Seminary,Kansas City,MO,,
Neosho Beauty College,Neosho,MO,44.0,16412.0
Truman State University,Kirksville,MO,3318.0,55351.0
Northwest Missouri State University,Maryville,MO,4760.0,45693.0
Ozark Christian College,Joplin,MO,555.0,37883.0
College of the Ozarks,Point Lookout,MO,1468.0,40659.0
Park University,Parkville,MO,7131.0,53977.0
Stevens-The Institute of Business & Arts,Saint Louis,MO,96.0,35828.0
Poplar Bluff Technical Career Center,Poplar Bluff,MO,28.0,36070.0
Ranken Technical College,Saint Louis,MO,1820.0,56590.0
Research College of Nursing,Kansas City,MO,259.0,82363.0
Rockhurst University,Kansas City,MO,1921.0,62890.0
Rolla Technical Institute/Center,Rolla,MO,46.0,41543.0
Saint Louis University,Saint Louis,MO,7277.0,69878.0
Salem College of Hairstyling,Rolla,MO,33.0,18686.0
American College of Hair Design Inc,Sedalia,MO,21.0,20719.0
Saint Louis Christian College,Florissant,MO,60.0,38108.0
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,254.0,129137.0
Saint Louis Community College,Bridgeton,MO,12011.0,33167.0
Saint Paul School of Theology,Leawood,KS,,
Southwest Baptist University,Bolivar,MO,1700.0,41610.0
Missouri State University-West Plains,West Plains,MO,922.0,34456.0
St Louis College of Health Careers-St Louis,Saint Louis,MO,119.0,28413.0
State Fair Community College,Sedalia,MO,2658.0,34658.0
Stephens College,Columbia,MO,409.0,43139.0
Southeast Missouri State University,Cape Girardeau,MO,7306.0,42700.0
Missouri State University-Springfield,Springfield,MO,14210.0,47850.0
Three Rivers College,Poplar Bluff,MO,2049.0,32883.0
North Central Missouri College,Trenton,MO,1077.0,36677.0
Kansas City University,Kansas City,MO,,
Washington University in St Louis,Saint Louis,MO,7713.0,90646.0
Webster University,Saint Louis,MO,2327.0,48965.0
Westminster College,Fulton,MO,650.0,51446.0
William Jewell College,Liberty,MO,779.0,59207.0
William Woods University,Fulton,MO,726.0,43767.0
Academy of Cosmetology Inc,Bozeman,MT,38.0,21807.0
Blackfeet Community College,Browning,MT,283.0,20648.0
Butte Academy of Beauty Culture,Butte,MT,30.0,21506.0
Highlands College of Montana Tech,Butte,MT,312.0,51910.0
Crevier's Academy of Cosmetology Arts,Kalispell,MT,81.0,
Carroll College,Helena,MT,1084.0,58012.0
Dawson Community College,Glendive,MT,308.0,37840.0
Chief Dull Knife College,Lame Deer,MT,129.0,26347.0
Montana State University Billings,Billings,MT,2818.0,41907.0
Flathead Valley Community College,Kalispell,MT,1188.0,35715.0
Aaniiih Nakoda College,Harlem,MT,105.0,36139.0
Fort Peck Community College,Poplar,MT,458.0,
Great Falls College Montana State University,Great Falls,MT,748.0,36220.0
University of Providence,Great Falls,MT,660.0,43180.0
Helena College University of Montana,Helena,MT,637.0,38842.0
Little Big Horn College,Crow Agency,MT,265.0,23642.0
Miles Community College,Miles City,MT,383.0,40010.0
Montana Technological University,Butte,MT,1467.0,51910.0
Montana State University,Bozeman,MT,14329.0,51532.0
The University of Montana,Missoula,MT,7026.0,43967.0
Montana State University-Northern,Havre,MT,838.0,44743.0
Rocky Mountain College,Billings,MT,807.0,50117.0
Salish Kootenai College,Pablo,MT,561.0,29998.0
The University of Montana-Western,Dillon,MT,1283.0,41931.0
Yellowstone Christian College,Billings,MT,35.0,
Bellevue University,Bellevue,NE,8903.0,60600.0
Clarkson College,Omaha,NE,616.0,62353.0
Bryan College of Health Sciences,Lincoln,NE,560.0,59303.0
Central Community College,Grand Island,NE,3477.0,37570.0
Chadron State College,Chadron,NE,1642.0,45041.0
College of Hair Design-Downtown,Lincoln,NE,57.0,27422.0
Concordia University-Nebraska,Seward,NE,1190.0,48132.0
Creighton University,Omaha,NE,4455.0,71997.0
Doane University,Crete,NE,1102.0,51072.0
Hastings College,Hastings,NE,923.0,49768.0
CHI Health School of Radiologic Technology,Omaha,NE,19.0,42160.0
Joseph's College Cosmetology,Lincoln,NE,127.0,22016.0
University of Nebraska at Kearney,Kearney,NE,4289.0,48453.0
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,857.0,56964.0
Metropolitan Community College Area,Omaha,NE,6467.0,38337.0
Mid-Plains Community College,North Platte,NE,943.0,36392.0
Midland University,Fremont,NE,1200.0,52834.0
University of Nebraska at Omaha,Omaha,NE,12010.0,51972.0
Nebraska Indian Community College,Macy,NE,218.0,23651.0
University of Nebraska Medical Center,Omaha,NE,913.0,74902.0
Nebraska Wesleyan University,Lincoln,NE,1686.0,55906.0
University of Nebraska-Lincoln,Lincoln,NE,19448.0,55689.0
Northeast Community College,Norfolk,NE,2493.0,40969.0
Peru State College,Peru,NE,1415.0,43985.0
Summit Christian College,Gering,NE,24.0,
College of Saint Mary,Omaha,NE,599.0,51663.0
Southeast Community College Area,Lincoln,NE,5984.0,43341.0
Union College,Lincoln,NE,574.0,49289.0
Nebraska College of Technical Agriculture,Curtis,NE,246.0,55689.0
Wayne State College,Wayne,NE,3048.0,46143.0
Western Nebraska Community College,Scottsbluff,NE,930.0,36360.0
York University,York,NE,435.0,40076.0
Academy of Hair Design-Las Vegas,Las Vegas,NV,215.0,24594.0
Career College of Northern Nevada,Sparks,NV,362.0,35180.0
College of Southern Nevada,Las Vegas,NV,27817.0,38755.0
Las Vegas College,Las Vegas,NV,632.0,29225.0
University of Nevada-Las Vegas,Las Vegas,NV,24835.0,53363.0
University of Nevada-Reno,Reno,NV,16274.0,59167.0
Great Basin College,Elko,NV,1953.0,36875.0
Sierra Nevada University,Incline Village,NV,276.0,47610.0
Truckee Meadows Community College,Reno,NV,6307.0,41514.0
Western Nevada College,Carson City,NV,2010.0,39786.0
Colby-Sawyer College,New London,NH,780.0,45141.0
Dartmouth College,Hanover,NH,4533.0,95540.0
Empire Beauty School-Laconia,Laconia,NH,82.0,26809.0
Empire Beauty School-Somersworth,Somersworth,NH,158.0,
Franklin Pierce University,Rindge,NH,1277.0,47068.0
University of New Hampshire-Franklin Pierce School of Law,Concord,NH,,64875.0
Keene Beauty Academy,Keene,NH,53.0,
Magdalen College,Warner,NH,67.0,
Michael's School of Hair Design & Esthetics,Bedford,NH,84.0,27633.0
New England College,Henniker,NH,1261.0,41966.0
New England School of Hair Design,West Lebanon,NH,21.0,
Southern New Hampshire University,Manchester,NH,119248.0,53611.0
New Hampshire Institute for Therapeutic Arts,Nashua,NH,17.0,
University of New Hampshire-Main Campus,Durham,NH,11429.0,64875.0
Keene State College,Keene,NH,2930.0,50644.0
University of New Hampshire at Manchester,Manchester,NH,643.0,64875.0
Plymouth State University,Plymouth,NH,3486.0,52014.0
NHTI-Concord's Community College,Concord,NH,2411.0,46694.0
White Mountains Community College,Berlin,NH,501.0,
River Valley Community College,Claremont,NH,654.0,40843.0
Lakes Region Community College,Laconia,NH,527.0,40816.0
Manchester Community College,Manchester,NH,1887.0,44671.0
Nashua Community College,Nashua,NH,1033.0,45268.0
Great Bay Community College,Portsmouth,NH,1394.0,47017.0
Paul Mitchell the School-Portsmouth,Portsmouth,NH,87.0,
Rivier University,Nashua,NH,1394.0,62269.0
Saint Anselm College,Manchester,NH,1952.0,63085.0
St Joseph School of Nursing,Nashua,NH,109.0,
Granite State College,Concord,NH,1340.0,48686.0
Thomas More College of Liberal Arts,Merrimack,NH,89.0,38054.0
Eastwick College-Hackensack,Hackensack,NJ,507.0,41001.0
Assumption College for Sisters,Denville,NJ,32.0,
Atlantic Cape Community College,Mays Landing,NJ,4098.0,33438.0
Fortis Institute-Wayne,Wayne,NJ,479.0,34048.0
Bergen Community College,Paramus,NJ,9587.0,43896.0
Berkeley College-Woodland Park,Woodland Park,NJ,2031.0,39808.0
Beth Medrash Govoha,Lakewood,NJ,3150.0,47233.0
Bloomfield College,Bloomfield,NJ,1294.0,43765.0
Brookdale Community College,Lincroft,NJ,7884.0,41157.0
Rowan College at Burlington County,Mount Laurel,NJ,5900.0,42857.0
Caldwell University,Caldwell,NJ,1624.0,53908.0
Camden County College,Blackwood,NJ,6207.0,38913.0
Centenary University,Hackettstown,NJ,1111.0,54748.0
Adult and Continuing Education-BCTS,Hackensack,NJ,76.0,44300.0
Lincoln Technical Institute-Iselin,Iselin,NJ,618.0,31386.0
American Institute-Clifton,CLIFTON,NJ,699.0,29474.0
County College of Morris,Randolph,NJ,5478.0,46070.0
Rowan College of South Jersey-Cumberland Campus,Vineland,NJ,1937.0,39780.0
Drew University,Madison,NJ,1520.0,55906.0
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,340.0,43300.0
Essex County College,Newark,NJ,5435.0,35692.0
Empire Beauty School-Union,Union,NJ,107.0,23237.0
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,2515.0,57054.0
Felician University,Lodi,NJ,1903.0,55992.0
Fairleigh Dickinson University-Florham Campus,Madison,NJ,2230.0,57054.0
Hohokus School of Trade and Technical Sciences,Paterson,NJ,92.0,35246.0
Georgian Court University,Lakewood,NJ,1314.0,47161.0
Rowan University,Glassboro,NJ,14925.0,56115.0
Rowan College of South Jersey-Gloucester Campus,Sewell,NJ,4706.0,39780.0
Empire Beauty School-Cherry Hill,Cherry Hill,NJ,85.0,23239.0
Eastwick College-Ramsey,Ramsey,NJ,678.0,44429.0
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Englewood Cliffs,NJ,182.0,76490.0
Hudson County Community College,Jersey City,NJ,6286.0,33662.0
New Jersey City University,Jersey City,NJ,5146.0,50417.0
Joe Kubert School of Cartoon and Graphic Art,Dover,NJ,86.0,
Kean University,Union,NJ,10291.0,52714.0
Lincoln Technical Institute-Union,Union,NJ,1550.0,43300.0
Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,316.0,26514.0
Mercer County Community College,West Windsor,NJ,5434.0,39881.0
Middlesex College,Edison,NJ,8159.0,43640.0
Monmouth University,West Long Branch,NJ,4057.0,65306.0
Montclair State University,Montclair,NJ,15993.0,57008.0
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,Plainfield,NJ,637.0,72126.0
Eastwick College-Nutley,Nutley,NJ,435.0,36410.0
New Brunswick Theological Seminary,New Brunswick,NJ,,
Robert Fiance Beauty Schools-West New York,West New York,NJ,199.0,15252.0
New Jersey Institute of Technology,Newark,NJ,8377.0,84495.0
Ocean County College,Toms River,NJ,5965.0,42749.0
P B Cosmetology Education Center,Gloucester,NJ,143.0,22189.0
Parisian Beauty School,Hackensack,NJ,466.0,27966.0
Passaic County Community College,Paterson,NJ,4623.0,34762.0
Pennco Tech-Blackwood,Blackwood,NJ,824.0,37256.0
Princeton Theological Seminary,Princeton,NJ,,
Princeton University,Princeton,NJ,5236.0,110433.0
Rabbinical College of America,Morristown,NJ,216.0,35318.0
Ramapo College of New Jersey,Mahwah,NJ,4859.0,62810.0
Robert Fiance Beauty Schools,Boynton Beach,FL,200.0,20286.0
Rider University,Lawrenceville,NJ,3174.0,59215.0
Rutgers University-Camden,Camden,NJ,4747.0,69748.0
Rutgers University-New Brunswick,New Brunswick,NJ,35827.0,69748.0
Rutgers University-Newark,Newark,NJ,8066.0,69748.0
Capital Health School of Radiologic Technology,Trenton,NJ,15.0,
Capital Health School of Nursing,Trenton,NJ,73.0,
Saint Peter's University,Jersey City,NJ,2017.0,52442.0
Salem Community College,Carneys Point,NJ,878.0,39777.0
Seton Hall University,South Orange,NJ,5924.0,68307.0
Shore Beauty School,Egg Harbor Township,NJ,151.0,22808.0
Saint Elizabeth University,Morristown,NJ,688.0,48352.0
Raritan Valley Community College,Branchburg,NJ,5387.0,46402.0
Stevens Institute of Technology,Hoboken,NJ,4053.0,104918.0
Stockton University,Galloway,NJ,8359.0,54393.0
Talmudical Academy-New Jersey,Adelphia,NJ,76.0,
Aviation Institute of Maintenance-Teterboro,Teterboro,NJ,330.0,63371.0
Thomas Edison State University,Trenton,NJ,8615.0,59275.0
The College of New Jersey,Ewing,NJ,6491.0,70578.0
Union County College,Cranford,NJ,7591.0,38608.0
William Paterson University of New Jersey,Wayne,NJ,7165.0,52855.0
Olympian Academy of Cosmetology,Alamogordo,NM,732.0,23830.0
Central New Mexico Community College,Albuquerque,NM,15275.0,35094.0
Navajo Technical University,Crownpoint,NM,924.0,22952.0
New Mexico State University-Dona Ana,Las Cruces,NM,4707.0,38178.0
Clovis Community College,Clovis,NM,1277.0,29862.0
Eastern New Mexico University-Main Campus,Portales,NM,2861.0,36355.0
Eastern New Mexico University-Roswell Campus,Roswell,NM,1169.0,36355.0
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,294.0,30089.0
New Mexico Highlands University,Las Vegas,NM,1451.0,40872.0
New Mexico Junior College,Hobbs,NM,1739.0,35484.0
New Mexico Military Institute,Roswell,NM,374.0,48208.0
University of New Mexico-Gallup Campus,Gallup,NM,1287.0,42925.0
New Mexico Institute of Mining and Technology,Socorro,NM,1201.0,61977.0
University of New Mexico-Los Alamos Campus,Los Alamos,NM,719.0,42925.0
University of New Mexico-Main Campus,Albuquerque,NM,15092.0,42925.0
New Mexico State University-Alamogordo,Alamogordo,NM,461.0,38178.0
Southeast New Mexico College,Carlsbad,NM,428.0,38178.0
New Mexico State University-Grants,Grants,NM,264.0,38178.0
New Mexico State University-Main Campus,Las Cruces,NM,10674.0,38178.0
University of New Mexico-Valencia County Campus,Los Lunas,NM,1174.0,42925.0
Northern New Mexico College,Espanola,NM,876.0,39149.0
San Juan College,Farmington,NM,3911.0,34248.0
Santa Fe Community College,Santa Fe,NM,2150.0,38192.0
University of the Southwest,Hobbs,NM,414.0,44729.0
Southwestern College,Santa Fe,NM,,
Southwestern Indian Polytechnic Institute,Albuquerque,NM,344.0,26752.0
University of New Mexico-Taos Campus,Ranchos de Taos,NM,813.0,42925.0
Mesalands Community College,Tucumcari,NM,321.0,28664.0
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,67.0,
Western New Mexico University,Silver City,NM,1528.0,36398.0
Vaughn College of Aeronautics and Technology,Flushing,NY,1283.0,63007.0
Adelphi University,Garden City,NY,5168.0,70089.0
SUNY Adirondack,Queensbury,NY,1975.0,40927.0
Bryant & Stratton College-Albany,Albany,NY,351.0,30181.0
Albany College of Pharmacy and Health Sciences,Albany,NY,639.0,125798.0
Albany Law School,Albany,NY,,
Albany Medical College,Albany,NY,,
Alfred University,Alfred,NY,1460.0,51312.0
Allen School-Brooklyn,Brooklyn,NY,140.0,32836.0
The Ailey School,New York,NY,35.0,
American Academy of Dramatic Arts-New York,New York,NY,181.0,25799.0
American Academy McAllister Institute of Funeral Service,New York,NY,412.0,48348.0
Joffrey Ballet School,New York,NY,168.0,
American Musical and Dramatic Academy,New York,NY,1656.0,27585.0
Apex Technical School,Long Island City,NY,945.0,40019.0
Arnot Ogden Medical Center,Elmira,NY,35.0,40383.0
Associated Beth Rivkah Schools,Brooklyn,NY,273.0,
Bank Street College of Education,New York,NY,,
Bard College,Annandale-On-Hudson,NY,2036.0,42825.0
Barnard College,New York,NY,3007.0,74415.0
